rating_loop.thisRepN,rating_loop.thisTrialN,rating_loop.thisN,rating_loop.thisIndex,thisRow.t,notes,WelcomeScreen.started,WelcomeScreen.stopped,trial.started,trial.stopped,sliderRating.response,slider_stop.response,temperature_PT,sliderRating.markerPos,GoodbyScreen.started,text.started,GoodbyScreen.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
24,0,24,0,2024-09-18_16:48:36.230134,,,,187.75371940014884,189.68934709997848,None,None,34.7,None,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
25,0,25,0,2024-09-18_16:48:38.228087,,,,189.7542802998796,191.68870380008593,None,None,34.7,None,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
26,0,26,0,2024-09-18_16:48:40.226070,,,,191.7528456998989,193.68928170017898,None,None,34.7,None,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
27,0,27,0,2024-09-18_16:48:42.226923,,,,193.75304990028962,195.68777329986915,None,None,34.7,None,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
28,0,28,0,2024-09-18_16:48:44.221624,,,,195.75172139983624,197.68820680025965,None,None,34.7,None,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
29,0,29,0,2024-09-18_16:48:46.223954,,,,197.75323140015826,199.68624120019376,None,None,34.7,None,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
30,0,30,0,2024-09-18_16:48:48.220314,,,,199.75009960029274,201.68415210023522,None,None,34.800000000000004,42.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
31,0,31,0,2024-09-18_16:48:50.223486,,,,201.74816170008853,203.68308610003442,None,None,34.800000000000004,45.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
32,0,32,0,2024-09-18_16:48:52.225313,,,,203.74889030028135,205.68503070017323,None,None,34.800000000000004,14.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
33,0,33,0,2024-09-18_16:48:54.225226,,,,205.74874710012227,207.6846231999807,None,None,34.800000000000004,7.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
34,0,34,0,2024-09-18_16:48:56.225683,,,,207.7475792001933,209.68392380001023,5.0,None,34.800000000000004,1.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
35,0,35,0,2024-09-18_16:48:58.224620,,,,209.7478550001979,211.68392769992352,None,None,34.800000000000004,66.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
36,0,36,0,2024-09-18_16:49:00.218815,,,,211.74723630025983,213.686806099955,0.0,None,34.9,0.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
37,0,37,0,2024-09-18_16:49:02.225825,,,,213.7508763000369,215.68714739987627,None,None,34.9,None,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
38,0,38,0,2024-09-18_16:49:04.222617,,,,215.7510661999695,217.68805650016293,None,None,34.9,None,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
39,0,39,0,2024-09-18_16:49:06.229278,,,,217.7531087002717,219.6856388002634,None,None,34.9,None,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
40,0,40,0,2024-09-18_16:49:08.221692,,,,219.74929590011016,221.68532920023426,None,None,35.0,None,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
41,0,41,0,2024-09-18_16:49:10.223922,,,,221.74936500005424,223.68318150006235,None,None,35.0,35.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
42,0,42,0,2024-09-18_16:49:12.218462,,,,223.74633120000362,225.6861610999331,None,None,35.0,None,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
43,0,43,0,2024-09-18_16:49:14.219188,,,,225.74967160029337,227.68734160019085,None,None,35.0,None,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
44,0,44,0,2024-09-18_16:49:16.221230,,,,227.75082750013098,229.6828459003009,None,None,35.0,6.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
45,0,45,0,2024-09-18_16:49:18.223232,,,,229.74646050017327,231.68270329991356,None,None,35.0,88.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
46,0,46,0,2024-09-18_16:49:20.220398,,,,231.7473649000749,233.6856168000959,94.0,None,35.0,94.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
47,0,47,0,2024-09-18_16:49:22.219277,,,,233.74943850003183,235.6862077000551,None,None,35.0,None,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
48,0,48,0,2024-09-18_16:49:24.219353,,,,235.74968190025538,237.68351260013878,None,None,35.0,21.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
49,0,49,0,2024-09-18_16:49:26.224362,,,,237.74748580018058,239.68584839999676,85.0,None,35.0,85.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
50,0,50,0,2024-09-18_16:49:28.219258,,,,239.74914540024474,241.68668329995126,None,None,35.0,None,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
51,0,51,0,2024-09-18_16:49:30.228636,,,,241.7503454000689,243.6877104002051,None,None,35.0,None,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
52,0,52,0,2024-09-18_16:49:32.221221,,,,243.75086410017684,245.68424850003794,None,None,35.0,None,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
53,0,53,0,2024-09-18_16:49:34.217267,,,,245.7477016998455,247.68718839995563,None,None,35.0,None,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
54,0,54,0,2024-09-18_16:49:36.225282,,,,247.75071529997513,249.68383700028062,None,None,35.0,None,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
55,0,55,0,2024-09-18_16:49:38.218858,,,,249.74745570030063,251.68620140012354,None,None,35.0,None,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
56,0,56,0,2024-09-18_16:49:40.218813,,,,251.7494262000546,253.68192230025306,None,None,35.1,3.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
57,0,57,0,2024-09-18_16:49:42.226503,,,,253.74591749999672,255.68240230018273,None,None,35.0,2.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
58,0,58,0,2024-09-18_16:49:44.222522,,,,255.7452739002183,257.6816606000066,None,None,35.0,2.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
59,0,59,0,2024-09-18_16:49:46.223388,,,,257.7452295999974,259.6818241002038,None,None,35.0,2.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
60,0,60,0,2024-09-18_16:49:48.220230,,,,259.74541450012475,261.6816954999231,None,None,35.0,3.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
61,0,61,0,2024-09-18_16:49:50.223641,,,,261.7460504001938,263.68153920024633,None,None,35.0,2.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
62,0,62,0,2024-09-18_16:49:52.218891,,,,263.74490150017664,265.68195659993216,None,None,35.0,2.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
63,0,63,0,2024-09-18_16:49:54.221474,,,,265.7466084002517,267.68207379989326,None,None,35.0,3.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
64,0,64,0,2024-09-18_16:49:56.221735,,,,267.74623910011724,269.67989780008793,None,None,35.0,3.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
65,0,65,0,2024-09-18_16:49:58.218323,,,,269.7435681000352,271.68153320020065,None,None,35.0,3.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
66,0,66,0,2024-09-18_16:50:00.223291,,,,271.7458040001802,273.6816484001465,None,None,35.1,4.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
67,0,67,0,2024-09-18_16:50:02.223511,,,,273.745678700041,275.6802554000169,None,None,35.1,4.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
68,0,68,0,2024-09-18_16:50:04.216984,,,,275.7428548000753,277.67905679997057,None,None,35.1,4.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
69,0,69,0,2024-09-18_16:50:06.218037,,,,277.7427946999669,279.68042240012437,None,None,35.2,4.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
70,0,70,0,2024-09-18_16:50:08.222608,,,,279.74454799992964,281.68158490024507,None,None,35.300000000000004,4.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
71,0,71,0,2024-09-18_16:50:10.224480,,,,281.7460606000386,283.679831400048,None,None,35.300000000000004,4.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
72,0,72,0,2024-09-18_16:50:12.220846,,,,283.74401779985055,285.6809199000709,None,None,35.5,3.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
