rating_loop.thisRepN,rating_loop.thisTrialN,rating_loop.thisN,rating_loop.thisIndex,thisRow.t,notes,WelcomeScreen.started,WelcomeScreen.stopped,trial.started,trial.stopped,sliderRating.response,slider_stop.response,temperature_PT,sliderRating.markerPos,GoodbyScreen.started,text.started,GoodbyScreen.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
130,0,130,0,2024-09-18_17:00:31.021682,,,,262.98195759998634,264.91860770015046,None,None,45.400000000000006,73.0,,,,97,003,2024-09-18_16h55.12.462,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h56.08.135435 +0200,
131,0,131,0,2024-09-18_17:00:33.021343,,,,264.98248260002583,266.918445199728,None,None,45.6,75.0,,,,97,003,2024-09-18_16h55.12.462,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h56.08.135435 +0200,
132,0,132,0,2024-09-18_17:00:35.022710,,,,266.98159299977124,268.9185764999129,None,None,45.7,78.0,,,,97,003,2024-09-18_16h55.12.462,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h56.08.135435 +0200,
133,0,133,0,2024-09-18_17:00:37.021905,,,,268.98278519976884,270.91937369992957,None,None,45.900000000000006,80.0,,,,97,003,2024-09-18_16h55.12.462,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h56.08.135435 +0200,
134,0,134,0,2024-09-18_17:00:39.023474,,,,270.98272860003635,272.91723260004073,None,None,46.0,81.0,,,,97,003,2024-09-18_16h55.12.462,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h56.08.135435 +0200,
135,0,135,0,2024-09-18_17:00:41.021665,,,,272.9813677999191,274.9175073001534,None,None,46.2,82.0,,,,97,003,2024-09-18_16h55.12.462,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h56.08.135435 +0200,
136,0,136,0,2024-09-18_17:00:43.020524,,,,274.981509400066,276.91713920002803,None,None,46.400000000000006,84.0,,,,97,003,2024-09-18_16h55.12.462,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h56.08.135435 +0200,
137,0,137,0,2024-09-18_17:00:45.022018,,,,276.9814899000339,278.9174887998961,None,None,46.5,86.0,,,,97,003,2024-09-18_16h55.12.462,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h56.08.135435 +0200,
138,0,138,0,2024-09-18_17:00:47.022570,,,,278.9811860998161,280.91845140000805,None,None,46.7,88.0,,,,97,003,2024-09-18_16h55.12.462,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h56.08.135435 +0200,
139,0,139,0,2024-09-18_17:00:49.020712,,,,280.981692600064,282.91848610015586,None,None,46.800000000000004,90.0,,,,97,003,2024-09-18_16h55.12.462,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h56.08.135435 +0200,
140,0,140,0,2024-09-18_17:00:51.024959,,,,282.9826726000756,284.92191240005195,92.0,None,47.0,92.0,,,,97,003,2024-09-18_16h55.12.462,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h56.08.135435 +0200,
141,0,141,0,2024-09-18_17:00:53.028379,,,,284.9880761001259,286.9197606998496,None,None,47.1,None,,,,97,003,2024-09-18_16h55.12.462,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h56.08.135435 +0200,
142,0,142,0,2024-09-18_17:00:55.020417,,,,286.98474529990926,288.92246939986944,None,None,47.2,None,,,,97,003,2024-09-18_16h55.12.462,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h56.08.135435 +0200,
143,0,143,0,2024-09-18_17:00:57.028164,,,,288.98640900012106,290.9198747999035,None,None,47.400000000000006,None,,,,97,003,2024-09-18_16h55.12.462,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h56.08.135435 +0200,
144,0,144,0,2024-09-18_17:00:59.021391,,,,290.98326259991154,292.92069739988074,None,None,47.5,None,,,,97,003,2024-09-18_16h55.12.462,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h56.08.135435 +0200,
145,0,145,0,2024-09-18_17:01:01.025938,,,,292.98547959979624,294.91844099992886,None,None,47.6,None,,,,97,003,2024-09-18_16h55.12.462,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h56.08.135435 +0200,
146,0,146,0,2024-09-18_17:01:03.018450,,,,294.9823427000083,296.9214559998363,None,2,47.800000000000004,None,,,,97,003,2024-09-18_16h55.12.462,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h56.08.135435 +0200,
,,,,,,,,,,,,,,297.03447039984167,297.0404284000397,306.9126699999906,97,003,2024-09-18_16h55.12.462,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h56.08.135435 +0200,
