rating_loop.thisRepN,rating_loop.thisTrialN,rating_loop.thisN,rating_loop.thisIndex,thisRow.t,notes,WelcomeScreen.started,WelcomeScreen.stopped,trial.started,trial.stopped,sliderRating.response,slider_stop.response,temperature_PT,sliderRating.markerPos,GoodbyScreen.started,text.started,GoodbyScreen.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
55,0,55,0,2024-09-17_16:38:48.723249,,,,116.12068830011413,118.05502200033516,3.0,None,30.1,3.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
56,0,56,0,2024-09-17_16:38:50.724353,,,,118.12006379989907,120.05333240004256,None,None,30.1,4.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
57,0,57,0,2024-09-17_16:38:52.723055,,,,120.12031219992787,122.05388989998028,None,None,30.1,3.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
58,0,58,0,2024-09-17_16:38:54.724529,,,,122.12103410018608,124.05548450024799,None,None,30.1,5.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
59,0,59,0,2024-09-17_16:38:56.723089,,,,124.12129339994863,126.05468469997868,None,None,30.1,3.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
60,0,60,0,2024-09-17_16:38:58.724519,,,,126.12130089988932,128.05425820033997,None,None,30.1,3.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
61,0,61,0,2024-09-17_16:39:00.724477,,,,128.11933770030737,130.0533016999252,None,None,30.1,3.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
62,0,62,0,2024-09-17_16:39:02.722424,,,,130.11931229988113,132.0549468002282,None,None,30.0,3.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
63,0,63,0,2024-09-17_16:39:04.728209,,,,132.12126890011132,134.0541358999908,None,None,30.0,3.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
64,0,64,0,2024-09-17_16:39:06.716047,,,,134.117101599928,136.05431340029463,None,None,30.0,4.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
65,0,65,0,2024-09-17_16:39:08.724216,,,,136.1208159001544,138.05336449993774,None,None,30.0,2.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
66,0,66,0,2024-09-17_16:39:10.719919,,,,138.11859570024535,140.05391700007021,None,None,29.900000000000002,2.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
67,0,67,0,2024-09-17_16:39:12.723981,,,,140.11880340008065,142.05312190018594,None,None,29.900000000000002,3.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
68,0,68,0,2024-09-17_16:39:14.723888,,,,142.11846730019897,144.0526291001588,None,None,29.900000000000002,2.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
69,0,69,0,2024-09-17_16:39:16.719789,,,,144.1187920998782,146.05339780030772,None,None,29.8,2.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
70,0,70,0,2024-09-17_16:39:18.720210,,,,146.11931920005009,148.05298419995233,None,None,29.700000000000003,3.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
71,0,71,0,2024-09-17_16:39:20.724716,,,,148.1189195001498,150.05206370027736,None,None,29.700000000000003,2.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
72,0,72,0,2024-09-17_16:39:22.722980,,,,150.11737259989604,152.05383299989626,None,None,29.6,2.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
73,0,73,0,2024-09-17_16:39:24.723860,,,,152.11839030031115,154.05190959991887,None,None,29.5,3.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
74,0,74,0,2024-09-17_16:39:26.720263,,,,154.11610019998625,156.05275140004233,None,None,29.400000000000002,3.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
75,0,75,0,2024-09-17_16:39:28.722256,,,,156.1191136999987,158.05309010017663,None,None,29.3,2.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
76,0,76,0,2024-09-17_16:39:30.718497,,,,158.11788609996438,160.0515533001162,None,None,29.1,3.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
77,0,77,0,2024-09-17_16:39:32.722376,,,,160.1180794001557,162.05242840014398,None,None,29.0,2.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
78,0,78,0,2024-09-17_16:39:34.722408,,,,162.1177829001099,164.05181250022724,None,None,28.900000000000002,3.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
79,0,79,0,2024-09-17_16:39:36.720041,,,,164.1184626002796,166.051230000332,None,None,28.8,3.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
80,0,80,0,2024-09-17_16:39:38.720673,,,,166.1172193000093,168.05277130007744,None,None,28.6,3.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
81,0,81,0,2024-09-17_16:39:40.719329,,,,168.1175723001361,170.05188510008156,None,None,28.5,3.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
82,0,82,0,2024-09-17_16:39:42.719190,,,,170.11595930019394,172.0509091001004,None,None,28.3,4.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
83,0,83,0,2024-09-17_16:39:44.716748,,,,172.11549220001325,174.05201560026035,None,None,28.200000000000003,4.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
84,0,84,0,2024-09-17_16:39:46.722807,,,,174.11774330027401,176.05116660008207,None,None,28.0,4.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
85,0,85,0,2024-09-17_16:39:48.723493,,,,176.11617500009015,178.052716600243,None,None,27.900000000000002,4.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
86,0,86,0,2024-09-17_16:39:50.723148,,,,178.11875759996474,180.05136170005426,None,None,27.700000000000003,5.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
87,0,87,0,2024-09-17_16:39:52.723294,,,,180.11847120011225,182.05058989999816,None,None,27.5,8.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
88,0,88,0,2024-09-17_16:39:54.720867,,,,182.1176191000268,184.05106220021844,None,None,27.400000000000002,9.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
89,0,89,0,2024-09-17_16:39:56.723057,,,,184.1164525002241,186.05100989993662,None,None,27.200000000000003,10.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
90,0,90,0,2024-09-17_16:39:58.720654,,,,186.1159915002063,188.0519958003424,None,None,27.0,9.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
91,0,91,0,2024-09-17_16:40:00.723276,,,,188.1187607003376,190.04937899997458,None,None,26.8,9.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
